city,jajiga,homsa,otaghak,shab
اسالم,1429712.871,1465761.538,1193112,1000000
اصفهان,1447989.817,1792750.636,1572987.526,1478000
بابلسر,1706401.826,2024224.19,1454807.692,1579786.164
بندرانزلی,2072746.458,2388750.643,2018371.007,1996664.634
رامسر,2472241.99,2444679.586,2108484.293,2283726.829
رشت,1319502.315,1294735.931,1313144.105,1123266.234
ساری,1343808.696,1473452.991,1379582.09,1403153.846
سرخرود,3109761.538,3870900.763,3184434.286,3145160.584
سوادکوه,1361504.274,1864528.302,1474695.067,1457798.587
شیراز,1752045.825,1864958.571,1808874.545,1627077.181
شیرگاه,1450084.211,1549953.608,1482911.215,1457798.587
تالش/هشتپر,1422282.7,1380337.58,1363920.949,1364778.523
تبریز,1874632.911,1861934.579,1931842.105,2410444.444
تنکابن/شهسوار,1828049.834,2184685.864,1612646.018,1685341.463
تهران,2327454.861,2418762.811,2654266.265,2430952.275
فومن,1272292.593,1415280.851,1104543.353,1406937.5
قشم,1258655.809,1658527.273,1480078.014,1287251.613
قم,1124217.822,986118.6441,958202.7027,1017540.984
لاهیجان,1522510.638,1270546.763,1311295.154,1254858.491
نوشهر,2603975.945,2676740.933,2632629.969,2432684.932
ماسال,1416923.952,1561702.428,1357473.901,1359818.75
محمودآباد,2491865.546,2192989.899,2091743.697,2269595.745
مشهد,1507601.504,1992508.123,1372621.514,1431562.674
متل قو,3077066.946,3022040,2462315.789,2823861.111
کاشان,1684243.038,2259042.506,1741556.452,1650026.144
کردان,3779066.667,3547904.615,3282554.054,3042500.873
کلاردشت,2473719.457,2280338.583,2278829.63,2286105.882
کیش,1739177.885,2443270.111,2119314.286,1889925
گرگان,1321571.429,1210728.972,1273782.609,1034731.707
چالوس,2320822.055,2300320.158,1998204.255,2125692.308
یزد,1186111.111,1348507.83,1213594.972,1126191.257
