city,en_cities,jajica_code,jajica_slug
اسالم,asalem,,asalem
بابلسر,babolsar,,babolsar
بندرانزلی,bandar-anzali,263,bandaranzali
چالوس,chalus,301,chalus
فومن,fuman,276,fuman
گرگان,gorgan,,gorgan
اصفهان,isfahan,45,isfahan
کاشان,kashan,57,kashan
کلاردشت,kelardasht,,kelardasht
کیش,kish,368,kish
کردان,kordan,372,kordan
لاهیجان,lahijan,,lahijan
محمودآباد,mahmudabad,,mahmudabad
ماسال,masal,282,masal
مشهد,mashad,122,mashad
متل قو,motel-gho,,motelqoo
نوشهر,nowshahr,,nowshahr
قشم,qeshm,330,qeshm
قم,qom,,qom
رامسر,ramsar,,ramsar
رشت,rasht,265,rasht
ساری,sari,,sari
سوادکوه,savadkuh,,savadkuh
شیراز,shiraz,,shiraz
شیرگاه,shirgah,,shirgah
سرخرود,sorkh-roud,,sorkhroud
تبریز,tabriz,,tabriz
تالش/هشتپر,talesh,,talesh
تهران,tehran,82,tehran
تنکابن/شهسوار,tonekabon,,tonekabon
یزد,yazd,350,yazd
