citys,en_cities,jajica_code,jajica_slug
تهران,tehran,82,tehran
مشهد,mashad,122,mashad
رامسر,ramsar,,ramsar
ماسال,masal,282,masal
شیراز,shiraz,,shiraz
کاشان,kashan,57,kashan
یزد,yazd,350,yazd
اصفهان,isfahan,45,isfahan
بندرانزلی,bandar-anzali,263,bandaranzali
کردان,kordan,372,kordan
قشم,qeshm,330,qeshm
کیش,kish,368,kish
چالوس,chalus,301,chalus
فومن,fuman,276,fuman
رشت,rasht,265,rasht
محمودآباد,mahmudabad,,mahmudabad
شیرگاه,shirgah,,shirgah
نوشهر,nowshahr,,nowshahr
تنکابن/شهسوار,tonekabon,,tonekabon
بابلسر,babolsar,,babolsar
تالش/هشتپر,talesh,,talesh
لاهیجان,lahijan,,lahijan
سرخرود,sorkh-roud,,sorkhroud
اسالم,asalem,,asalem
کلاردشت,kelardasht,,kelardasht
قم,qom,,qom
ساری,sari,,sari
تبریز,tabriz,,tabriz
گرگان,gorgan,,gorgan
سوادکوه,savadkuh,,savadkuh
متل قو,motel-gho,,motelqoo
